status,youtube_id,label,split,reason
failed,Dhc3EALCjY8,cat meowing,train,ERROR: [youtube] Dhc3EALCjY8: Video unavailable
failed,dufRvpDEZS8,raining,test,ERROR: [youtube] dufRvpDEZS8: Video unavailable
failed,Di4vR2hW6aA,dog barking,train,ERROR: [youtube] Di4vR2hW6aA: Video unavailable
failed,Gk2rr7zUiJg,playing acoustic guitar,train,ERROR: [youtube] Gk2rr7zUiJg: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,TB-SQhg1z9A,ocean burbling,test,ERROR: [youtube] TB-SQhg1z9A: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,B7xVw2O6HtE,cat meowing,train,ERROR: [youtube] B7xVw2O6HtE: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,3RABCekbY1Q,helicopter,train,ERROR: [youtube] 3RABCekbY1Q: Video unavailable
failed,C0p_h5307Mg,car engine knocking,test,ERROR: [youtube] C0p_h5307Mg: Video unavailable
failed,ARCyuCLGlmc,ocean burbling,test,ERROR: [youtube] ARCyuCLGlmc: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,VL8bNd5JiGc,typing on computer keyboard,train,ERROR: [youtube] VL8bNd5JiGc: Video unavailable
failed,R3C1n611idY,dog barking,train,ERROR: [youtube] R3C1n611idY: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,fDSRbrz1hXA,thunder,train,ERROR: [youtube] fDSRbrz1hXA: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,i3XsHwr0wRI,playing piano,train,ERROR: [youtube] i3XsHwr0wRI: This video is not available
failed,W49q7VqCntA,car engine knocking,train,ERROR: [youtube] W49q7VqCntA: Video unavailable
failed,T3jX2DgVIRU,raining,train,ERROR: [youtube] T3jX2DgVIRU: Video unavailable
failed,57RsoPeW8vs,"bird chirping, tweeting",train,ERROR: [youtube] 57RsoPeW8vs: Video unavailable
failed,FJ6cTKn5MUw,waterfall burbling,test,ERROR: [youtube] FJ6cTKn5MUw: Video unavailable
failed,D2KrgDuU3K8,"bird chirping, tweeting",test,ERROR: [youtube] D2KrgDuU3K8: This video is not available
failed,e5f9hBRSgrI,"bird chirping, tweeting",train,ERROR: [youtube] e5f9hBRSgrI: Video unavailable
failed,czh_M-DRaLs,thunder,train,ERROR: [youtube] czh_M-DRaLs: Video unavailable
failed,oyA1agKbRGI,"bird chirping, tweeting",train,ERROR: [youtube] oyA1agKbRGI: Video unavailable
failed,cz1VcZwnoc0,playing piano,train,ERROR: [youtube] cz1VcZwnoc0: This video is not available
failed,8VogRJlmDiE,raining,train,ERROR: [youtube] 8VogRJlmDiE: This video is not available
failed,3YaI8p2pAoM,people crowd,train,ERROR: [youtube] 3YaI8p2pAoM: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,vD_UbKdiypI,"bird chirping, tweeting",train,ERROR: [youtube] vD_UbKdiypI: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,kNEHQ2K6ejg,raining,train,ERROR: [youtube] kNEHQ2K6ejg: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,eSMCZfnJ5gI,dog barking,test,ERROR: [youtube] eSMCZfnJ5gI: This video is not available
failed,bX4AoRIaMuA,people crowd,train,ERROR: [youtube] bX4AoRIaMuA: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,iqBB0MK6Mi4,thunder,train,ERROR: [youtube] iqBB0MK6Mi4: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,0UcGJ1G2MjM,dog barking,train,ERROR: [youtube] 0UcGJ1G2MjM: Video unavailable
failed,muEqLs4xcvs,"female speech, woman speaking",test,ERROR: [youtube] muEqLs4xcvs: Video unavailable
failed,cs5dmcG62hI,"bird chirping, tweeting",train,ERROR: [youtube] cs5dmcG62hI: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,a3NmUlnBjR0,people crowd,train,ERROR: [youtube] a3NmUlnBjR0: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,AL-dutJvx0s,typing on computer keyboard,test,ERROR: [youtube] AL-dutJvx0s: Video unavailable
failed,ye-QhVM1t-k,cat meowing,train,ERROR: [youtube] ye-QhVM1t-k: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
